Traces_Median_Delta_From_Traces_Elapsed_Time_null,UNIT_CATEGORY,RemainingTime,Traces_Mean_Delta_From_Traces_Elapsed_Time_null,NumExecution_Current_Activity,Count_Concurrent_Instances,CONTAINER_TYPE,UNIT_FREIGHT_KIND,Median_Elapsed_Time_Concurrent_Instances,LINE_OPERATOR,Mean_Elapsed_Time_Concurrent_Instances,UNIT_GKEY,Trace_Start_Time,CLASS
-832000,EXPRT,?,-50606404,?,6393,40HC,FCL,50292000,4185,87211022,2672903247,?,'[2.24119E8,3.11746E8['
-15959000,EXPRT,?,-74607906,?,624,20RG,MTY,58022000,4076,36196614,2672698969,?,'[2.17554E8,2.24119E8['
6560000,EXPRT,?,-10166114,?,3611,20RG,MTY,166974000,4103,181010298,2672790133,?,'[5.20066E8,6.24443E8['
-13281000,EXPRT,?,-70351858,?,624,20RG,FCL,52962000,4060,33486900,2672734075,?,'[3.649E8,4.6604E8['
-15313000,EXPRT,?,-71518333,?,624,20RG,MTY,56804000,4173,34670277,2672720102,?,'[3.649E8,4.6604E8['
-12080500,EXPRT,?,-73141123,?,624,40RG,MTY,57445000,4103,36323513,2672724359,?,'[3.649E8,4.6604E8['
-15572000,EXPRT,?,-73434905,?,624,20RG,MTY,57833000,4103,36430220,2672692064,?,'[6.24443E8,1.058038E9['
-15406000,EXPRT,?,-72372824,?,624,40HC,FCL,11939000,4173,32989226,2672704872,?,'[3.649E8,4.6604E8['
-13281000,EXPRT,?,-70360465,?,624,20RG,MTY,53025000,4185,33548615,2672729438,?,'[4.6604E8,5.20066E8['
-14919000,EXPRT,?,-70675484,?,624,20RG,MTY,56535000,4076,34272974,2672716625,?,'[2.13063E8,2.17554E8['
-1198000,EXPRT,?,-77098017,?,624,20RG,MTY,54761000,4076,45990362,2672679318,?,'[2.17554E8,2.24119E8['
-944000,EXPRT,?,-51498653,?,6499,40HC,FCL,35041000,4185,77100220,2672827256,?,'[2.24119E8,3.11746E8['
6756500,EXPRT,?,-12599286,?,3615,40RG,MTY,167645000,4103,180893004,2672750109,?,'[7.8491E7,2.13063E8['
-16176500,EXPRT,?,-73782501,?,624,20RG,MTY,10779000,4185,32935863,2672759096,?,'[4.6604E8,5.20066E8['
-16448000,EXPRT,?,-73613242,?,624,20RG,FCL,12060000,4060,33421888,2672751641,?,'[5.20066E8,6.24443E8['
-14919000,EXPRT,?,-70456381,?,624,20RG,MTY,55148500,4076,34005441,2672717939,?,'[2.13063E8,2.17554E8['
0,EXPRT,?,5996241,?,3641,20RG,MTY,169343000,4185,161100047,2672813894,?,'[2.24119E8,3.11746E8['
-16595500,EXPRT,?,-73091828,?,626,40HC,FCL,15216000,4060,35801283,2672842848,?,'[5.20066E8,6.24443E8['
-15628000,EXPRT,?,-73355052,?,624,20RG,MTY,57628000,4076,35415900,2672712572,?,'[2.17554E8,2.24119E8['
0,EXPRT,?,-6506298,?,3670,40RG,MTY,170204000,4103,152430786,2672865643,?,'[7.8491E7,2.13063E8['
6953000,EXPRT,?,-3794251,?,3612,20RG,MTY,167122000,4103,181164532,2672835694,?,'[5.20066E8,6.24443E8['
